1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,1.346,0.4366,0.406,1.4929,1.8135,1.2251,0.3691,1.2236,1.2229,0.7032,1.0886,0.5183,1.5592,1.9269,0.3993,0.6746,1.7011
,,1.6866,1.4278,0.3337,1.7799,0.4288,0.7796,1.0125,1.0784,0.981,1.0008,0.381,1.1366,1.4127,2.0913,0.8973,0.7162,1.7398
,,0.8718,0.9628,0.8158,1.0522,0.4745,0.7315,0.4012,1.0093,0.7302,0.7274,0.3309,1.0048,1.4531,1.4255,0.4022,0.9218,1.2712
,,1.528,0.6829,0.378,2.126,0.7918,1.2138,0.4781,1.3119,0.6147,1.2617,0.5327,1.6771,1.518,1.5512,0.4324,0.8641,1.8399
,,1.3556,1.2102,1.2921,1.4506,0.3604,1.4658,0.6428,1.6098,0.7735,1.3898,0.3333,1.1918,1.1496,1.4693,1.0987,1.5559,2.64
,,1.3526,0.4544,0.5307,0.8681,0.7525,2.472,0.838,1.6089,0.532,2.0798,0.3864,0.844,1.5653,1.0946,0.6961,1.111,0.8746
,,0.8627,0.6021,0.8268,2.1293,0.6425,1.3994,0.3138,0.6593,1.0554,0.9072,0.5729,1.0303,1.9992,1.9169,0.9919,0.3429,1.8594
,,1.014,0.6215,0.3259,1.6101,0.5241,1.0275,0.5694,0.9981,0.6796,0.6416,0.5123,0.723,0.6116,1.7557,0.7098,0.956,1.9905
,,0.9242,0.8914,0.2784,1.6076,0.4578,1.1344,0.4691,2.1543,0.7735,0.6524,0.5035,2.6803,1.5401,1.2908,0.6837,0.7727,1.1603
,,1.6371,0.7592,1.345,2.0267,0.5796,1.4387,0.4749,0.9142,0.6715,0.6925,0.398,1.0262,1.0485,1.6232,0.4881,1.3277,1.3177
,,0.9999,0.9115,0.3072,1.7997,0.9266,0.8217,0.3341,0.9486,0.8256,1.1229,0.6245,1.7037,1.4455,1.1437,0.4034,0.8628,1.4306
,,0.7223,1.2751,0.6562,2.2832,0.6619,0.8024,0.5518,0.5526,0.5696,1.1783,0.4732,0.9971,0.736,1.2269,0.9586,1.2032,1.2062
,,0.6238,1.4212,0.2622,2.169,0.7576,1.0907,0.4337,0.8898,0.896,0.7829,0.6511,1.1737,1.6393,1.1091,0.3853,0.49,2.4495
,,1.0132,1.1203,0.4216,2.346,1.5668,1.4477,0.6966,1.8624,0.4718,0.9917,0.372,1.1215,0.6864,2.5677,0.5753,1.2397,1.2712
,,1.2371,1.293,0.4777,1.5808,0.5508,0.7386,0.701,0.9762,0.5844,1.2606,0.4427,0.9128,1.6936,1.6093,0.7722,0.7475,1.4169
,,0.8179,0.7385,0.3831,2.1877,0.8119,0.8341,0.3885,3.4731,0.5873,1.1891,1.2275,1.1602,1.4502,2.5351,0.4748,1.3443,1.2385
,,0.7714,1.452,0.5259,1.2885,0.5434,1.1795,0.8993,1.5469,0.8807,1.1947,0.6192,1.9834,1.2933,1.8415,0.5694,0.5614,2.0503
,,1.4209,0.8365,0.5683,1.6758,0.4009,1.6636,0.4013,0.8163,0.8048,0.7089,0.4136,1.29,0.6299,1.2458,0.8366,0.3871,0.899
,,0.8277,0.5321,0.6837,1.6869,0.5841,2.3199,0.9092,0.8952,0.4659,0.6439,0.5314,0.5286,1.3062,1.672,0.5878,0.6194,1.3374
,,1.4596,0.8599,0.4912,1.9486,0.7697,1.3565,0.6247,0.7962,0.5992,1.1208,0.9532,1.129,1.3376,1.5666,0.6278,1.1179,0.8711
,,0.9132,0.4015,0.7097,1.7301,0.696,0.7271,0.7138,0.644,1.0787,0.4936,0.4506,1.2978,1.5639,1.117,0.7184,0.9211,1.3047
,,1.1006,1.2696,0.7565,1.3507,0.6053,0.8214,0.4398,0.7294,0.9157,0.7578,0.3924,1.6475,2.3107,2.2636,0.6009,1.3266,2.9248
,,3.0728,1.7709,0.3996,1.133,0.4915,1.5157,1.4326,1.1244,0.9638,1.0512,0.756,0.7544,0.9117,0.9979,0.3119,0.6499,2.4948
