1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2.3058,1.9463,1.4731,0.8922,0.8271,0.6729,0.9932,1.2609,0.5812,0.8731,0.5039,0.4742,0.9427,0.5127,0.5669,1.065,0.9077,0.9316,1.0152
1.527,2.054,1.066,0.976,1.1506,0.7146,1.0191,1.688,0.5119,0.9202,0.4173,0.5266,0.9138,0.4875,0.4878,1.1515,0.8471,0.7026,0.9773
2.4792,1.2936,1.0947,0.5861,0.7963,0.6678,0.9358,1.3982,0.6709,1.0938,0.5045,0.4305,0.8417,0.5533,0.542,1.0811,1.0032,0.9648,0.9201
1.9453,1.5447,1.3515,0.7798,1.019,0.7405,0.8832,1.4457,0.701,1.0116,0.4392,0.4822,0.9301,0.627,0.6636,1.1738,0.7662,0.7114,1.2998
1.7126,1.8505,1.2084,0.7549,0.9514,0.8329,1.2305,1.4344,0.6717,0.98,0.4342,0.5431,0.9163,0.4815,0.4408,0.8777,0.8121,0.8223,1.1655
2.1911,1.9039,1.1689,0.7138,1.021,0.6122,1.1335,1.4464,0.6515,1.001,0.4916,0.4233,0.9154,0.6577,0.6824,0.9552,0.7668,0.6126,0.9865
2.5664,2.9293,1.4884,0.6279,1.4388,0.7557,1.0045,1.7626,0.6813,1.0419,0.4695,0.4374,0.6278,0.4895,0.8051,1.1252,0.5582,0.7538,1.2602
1.7782,1.8561,1.0003,0.8211,1.1548,0.5549,1.0693,1.1967,0.7862,0.6839,0.5539,0.4497,1.0151,0.4613,0.5421,1.25,0.8392,0.7081,0.7037
2.185,1.4757,0.9534,0.6042,0.8007,0.6445,1.1477,1.8076,0.576,0.9286,0.364,0.512,0.8406,0.4279,0.7097,0.796,0.6626,0.6125,0.7986
1.4776,1.1707,1.6102,0.6786,0.7262,0.7426,1.0669,1.1871,0.7334,0.8917,0.6705,0.3733,0.9205,0.5492,0.5674,1.3177,0.8875,0.8089,1.1921
1.7644,1.519,1.193,0.8047,0.9587,0.9451,0.8373,1.2996,0.7356,1.1712,0.3605,0.3744,0.8927,0.5718,0.5869,1.1135,0.8786,0.9824,1.1551
1.9208,1.9638,1.0461,0.7413,0.8,0.6312,1.2162,1.4888,0.5763,0.676,0.5367,0.5303,1.333,0.4373,0.6808,1.2469,0.7263,0.9167,1.1319
2.2522,2.2748,1.1891,0.7272,1.0882,0.8324,1.1029,1.228,0.6586,1.2608,0.4783,0.3937,0.7565,0.7064,0.667,0.9322,0.7334,0.6784,1.0168
1.7099,1.4799,1.2251,0.6611,0.8693,0.7432,0.9177,1.6301,0.5736,0.7485,0.415,0.4928,0.8354,0.491,0.6356,1.2212,0.9451,0.8651,1.4049
1.7753,2.0694,1.3325,0.821,0.9372,0.7869,1.2083,1.5216,0.516,1.0661,0.3649,0.4537,1.0854,0.5667,0.4683,1.5991,0.7287,1.0401,0.8913
