1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.8258,0.8581,0.1546,0.4546,0.5068,0.3873,0.2812,0.6345,0.5931,0.1889,0.3372,0.2978,0.1644,0.3143,0.2177,0.2765,0.1573,0.1588,0.2742
0.698,1.0328,0.3566,0.7559,0.3081,0.364,0.4483,0.554,0.4922,0.2535,0.3236,0.4141,0.3511,0.1637,0.2756,0.3789,0.1763,0.203,0.252
1.0836,1.2416,0.3159,0.6258,0.4339,0.3886,0.2617,0.5857,0.4945,0.172,0.3269,0.3599,0.2285,0.1245,0.2309,0.4988,0.3395,0.3191,0.3952
0.7354,1.0405,0.2899,0.6473,0.4863,0.5653,0.1686,0.3293,0.4527,0.1511,0.2789,0.3767,0.284,0.106,0.1968,0.2132,0.23,0.2303,0.1912
0.6925,0.7734,0.2402,0.4212,0.289,0.4189,0.2943,0.6945,0.708,0.1538,0.2978,0.2756,0.288,0.1215,0.2278,0.3314,0.31,0.1429,0.2205
0.8046,0.8603,0.2737,0.4062,0.3587,0.277,0.4601,0.5381,0.7103,0.3303,0.3024,0.3393,0.2596,0.1975,0.2346,0.397,0.3713,0.2117,0.1687
0.6159,0.6603,0.4278,0.4877,0.3812,0.3196,0.302,0.464,0.4781,0.274,0.3018,0.2734,0.3024,0.2108,0.1939,0.5847,0.4142,0.2192,0.2176
0.7815,0.9352,0.2947,0.4184,0.3021,0.3303,0.3183,0.5523,0.386,0.1558,0.3299,0.2309,0.2386,0.2588,0.148,0.3516,0.2909,0.2395,0.1635
0.9363,0.8079,0.3053,0.5034,0.4246,0.4247,0.3576,0.3938,0.4934,0.1796,0.4493,0.3389,0.2769,0.1376,0.1474,0.2548,0.2485,0.2228,0.2228
0.7562,0.5309,0.3751,0.425,0.5552,0.2111,0.3707,0.2963,0.4016,0.2254,0.381,0.2916,0.3238,0.0936,0.2385,0.3442,0.3759,0.1556,0.1631
0.4827,0.5398,0.2191,0.6865,0.3275,0.396,0.3213,0.5829,0.5003,0.1753,0.3014,0.2261,0.2822,0.143,0.1986,0.4262,0.3641,0.1737,0.2285
0.651,0.7035,0.3315,0.7118,0.1938,0.3712,0.3284,0.6768,0.4192,0.1017,0.2092,0.2262,0.3736,0.2078,0.2014,0.3554,0.384,0.2853,0.2366
0.7556,0.463,0.2864,0.5044,0.3374,0.5216,0.2175,0.4932,0.5029,0.1831,0.2363,0.2327,0.2151,0.2294,0.2824,0.4379,0.312,0.2001,0.2394
0.8766,0.5727,0.3507,0.4803,0.3791,0.4381,0.3812,0.5463,0.3649,0.1234,0.3971,0.4096,0.2589,0.1769,0.198,0.2559,0.3071,0.1911,0.1797
0.7996,0.6662,0.2146,0.5567,0.7135,0.4599,0.3443,0.5412,0.6017,0.2535,0.3256,0.2721,0.2061,0.1426,0.2264,0.2757,0.4178,0.2255,0.2957
0.9984,0.6518,0.3858,0.5617,0.3008,0.6156,0.4286,0.5074,0.3459,0.1649,0.3596,0.3216,0.1938,0.1345,0.2161,0.3469,0.2496,0.3285,0.2203
0.4724,0.6871,0.3364,0.5613,0.5199,0.3625,0.3085,0.3749,0.5901,0.2373,0.3911,0.4151,0.242,0.1553,0.1516,0.252,0.3148,0.2363,0.2611
0.8993,0.6884,0.4822,0.6192,0.365,0.4539,0.327,0.4865,0.5381,0.1313,0.3168,0.3627,0.2716,0.2395,0.2313,0.3609,0.2562,0.171,0.2666
0.7729,0.8533,0.3482,0.5466,0.3841,0.6008,0.2778,0.3393,0.348,0.2241,0.3401,0.3518,0.2515,0.1606,0.2334,0.298,0.3446,0.2201,0.2287
0.7039,0.5906,0.2971,0.6002,0.3837,0.4594,0.4223,0.4693,0.4032,0.141,0.3117,0.2908,0.2511,0.1576,0.2993,0.3686,0.4105,0.2026,0.1435
0.856,0.7217,0.2043,0.6062,0.2774,0.3918,0.2534,0.5893,0.6453,0.1641,0.482,0.3698,0.3376,0.1162,0.3214,0.2954,0.289,0.3313,0.2645
0.7319,0.767,0.2818,0.6442,0.3736,0.3751,0.3477,0.5842,0.3057,0.1695,0.4328,0.2999,0.3558,0.1748,0.1608,0.3444,0.4189,0.1982,0.2322
0.7644,0.6671,0.3115,0.5391,0.4523,0.4162,0.4217,0.3797,0.6598,0.2036,0.2577,0.3089,0.2337,0.1794,0.2023,0.2155,0.2431,0.2163,0.2541
0.699,0.868,0.3281,0.6914,0.2552,0.3972,0.3151,0.5,0.7242,0.2734,0.4236,0.5192,0.2037,0.1309,0.2683,0.4597,0.3248,0.2057,0.2537
